S.No.,CITY1,CITY2,"PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2",TOTAL
574,PUNE,VISAKHAPATNAM,"2,158","2,332","4,490"
575,SHILLONG,SILCHAR,571,562,"1,133"
576,SHIRDI,TIRUPATI,552,483,"1,035"
577,SHIRDI,VIJAYAWADA,"1,477","1,641","3,118"
578,Shivamogga Airport,TIRUPATI,698,375,"1,073"
579,SURAT,UDAIPUR,"1,952","1,801","3,753"
580,TIRUPATI,VIJAYAWADA,"1,084","1,150","2,234"
581,TIRUPATI,VISAKHAPATNAM,"1,467","1,859","3,326"
582,VARANASI,VISAKHAPATNAM,276,52,328
583,VIJAYAWADA,VISAKHAPATNAM,"1,904","1,584","3,488"
SUB TOTAL,,,"6,530,525","6,601,078","13,131,603"
TOTAL,,,"13,131,603",,"13,131,603"
