"Sr. No.",CITY1,CITY2,"PASSENGERS TO CITY2","PASSENGERS FROM CITY2",TOTAL
542,KALABURAGI,TIRUPATI,4753,3429,8182
543,MUMBAI,KESHOD,4017,3823,7840
544,RAJAHMUNDRY,TIRUPATI,4250,3490,7740
545,CHENNAI,DARBHANGA,4959,2768,7727
546,Goa,KOLKATA,4116,3585,7701
547,KOLKATA,MANGALORE,3635,3978,7613
548,IMPHAL,TEZU,4154,3422,7576
549,BELGAUM,TIRUPATI,4019,3551,7570
550,HYDERABAD,IMPHAL,3541,3939,7480
551,DELHI,JAGDALPUR,3013,4428,7441
552,DehraDun,GUWAHATI,4372,2909,7281
553,KOLKATA,PAKYONG,3853,3402,7255
554,BHUBANESWAR,ROURKELA,3495,3647,7142
555,Gondia ,HYDERABAD,3588,3544,7132
556,Kishangarh,INDORE,3380,3531,6911
557,PUNE,SURAT,3345,3508,6853
558,COIMBATORE,TIRUPATI,2873,3918,6791
559,BENGALURU,Cuddapah,2690,4025,6715
560,GHAZIABAD,KALABURAGI,3269,3334,6603
561,DELHI,PATHANKOT,3186,3302,6488
562,AHMEDABAD,JAISALMER,2840,3584,6424
563,GWALIOR,JAMMU,3354,2991,6345
564,DIMAPUR,SHILLONG,3021,3156,6177
565,Cuddapah,VIJAYAWADA,3162,2978,6140
566,HYDERABAD,JAMMU,5312,825,6137
567,BILASPUR,INDORE,3368,2473,5841
568,BELGAUM,NAGPUR,2856,2956,5812
569,HUBLI,MYSORE,3327,2483,5810
570,CHANDIGARH,KULLU,4057,1674,5731
571,DIBRUGARH,SHILLONG,2284,3446,5730
572,GORAKHPUR,VARANASI,3679,2045,5724
573,AGRA,BHOPAL,2395,3243,5638
574,BELGAUM,NASIK,2900,2712,5612
575,COIMBATORE,VISAKHAPATNAM,1262,4134,5396
576,MUMBAI,KOLHAPUR,2780,2560,5340
577,RAIPUR,VISAKHAPATNAM,5183,0,5183
578,BHOPAL,UDAIPUR,2541,2641,5182
579,AMRITSAR,CHENNAI,2173,2980,5153
580,AHMEDABAD,TRIVANDRUM,2803,2326,5129
581,BENGALURU,SILCHAR,2558,2288,4846
582,PATNA,VARANASI,2350,2459,4809
583,AIZAWL,MUMBAI,2580,2168,4748
584,DABOLIM,GUWAHATI,4711,4,4715
585,KOCHI,RANCHI,2658,1974,4632
586,AHMEDABAD,DURGAPUR,1979,2591,4570
587,JAIPUR,VADODARA,2371,2100,4471
588,DELHI,PORBANDAR,2372,2073,4445
589,AMRITSAR,GUWAHATI,1913,2499,4412
590,MUMBAI,GAYA,2173,2030,4203
591,AMRITSAR,HYDERABAD,2365,1806,4171
592,GUWAHATI, Itanagar,1673,2493,4166
593,JAMMU,VARANASI,1959,2067,4026
594,KOCHI,PATNA,2217,1567,3784
595,JAIPUR,JODHPUR,1682,2102,3784
596,MUMBAI,DIMAPUR,2093,1566,3659
597,DURGAPUR,GUWAHATI,1795,1816,3611
598,COIMBATORE,KOLKATA,1694,1781,3475
599,MADURAI,VIJAYAWADA,1868,1553,3421
600,KOCHI,LUCKNOW,1663,1368,3031
601,GUWAHATI,JODHPUR,1296,1705,3001
602,GORAKHPUR,KANPUR,1455,1308,2763
603,JABALPUR,KOLKATA,1451,1295,2746
604,VARANASI,VISAKHAPATNAM,1638,1101,2739
605,DIBRUGARH,DIMAPUR,1650,1081,2731
606,KOCHI,RAIPUR,1333,1236,2569
607,GUWAHATI,LILABARI,1247,1322,2569
608,CHENNAI,NASIK,1205,1344,2549
609,GUWAHATI,SHILLONG,1414,1114,2528
610,LUCKNOW,VARANASI,936,1562,2498
611,COIMBATORE,MANGALORE,494,1976,2470
612,KOCHI,VARANASI,972,1452,2424
613,CHANDIGARH,KOCHI,1024,1285,2309
614,GUWAHATI,TEZPUR,1312,964,2276
615,AHMEDABAD,SHIRDI,1293,969,2262
616,CHENNAI,JABALPUR,854,1344,2198
617,BHUBANESWAR,JEYPORE,1059,1081,2140
618,HUBLI,PUNE,1306,810,2116
619,CHANDIGARH,DehraDun,203,1877,2080
620,RANCHI,VARANASI,1754,241,1995
621,MUMBAI,JHARSUGUDA,977,874,1851
622,KOLKATA,TEZPUR,53,1797,1850
623,Goa,NASIK,863,941,1804
624,DELHI,SHILLONG,1044,746,1790
625,MUMBAI,SILCHAR,528,1247,1775
626,JEYPORE,VISAKHAPATNAM,940,816,1756
627,NAGPUR,NASIK,865,846,1711
628,Goa,AMRITSAR,789,779,1568
629,DABOLIM,KANNUR,707,809,1516
630,MUMBAI, Itanagar,741,697,1438
631,AMRITSAR,JAMMU,0,1394,1394
632,HYDERABAD,KANPUR,718,653,1371
633,AGARTALA,VISAKHAPATNAM,671,695,1366
634,MUMBAI,PUNE,878,476,1354
635,KANNUR,KOZHIKODE,132,1207,1339
636,JAMMU,KOLKATA,381,856,1237
637,DehraDun,PATNA,0,1201,1201
638,COIMBATORE,RAIPUR,557,574,1131
639,AMRITSAR,CHANDIGARH,472,643,1115
640,COIMBATORE,DABOLIM,1105,0,1105
641,SHIRDI,VISAKHAPATNAM,507,524,1031
642,CHANDIGARH,VADODARA,127,884,1011
643,CHENNAI,KANPUR,585,414,999
644,KHAJURAHO,VARANASI,646,347,993
645,BENGALURU,NASIK,525,375,900
646,Goa,KOCHI,0,879,879
647,DURGAPUR,TRIVANDRUM,371,446,817
648,INDORE,UDAIPUR,405,342,747
649,HUBLI,KANNUR,377,359,736
650,Goa,BHUBANESWAR,385,345,730
651,LILABARI,SHILLONG,246,481,727
652,Goa,RANCHI,344,363,707
653,JAMSHEDPUR,KOLKATA,385,321,706
654,MANGALORE,RANCHI,426,264,690
655,DELHI, Itanagar,291,346,637
656,CHENNAI,GORAKHPUR,622,0,622
657,SHIRDI,VIJAYAWADA,287,305,592
658,Goa,RAJKOT,288,302,590
659,JAIPUR,RAJKOT,346,243,589
660,Goa,COIMBATORE,287,276,563
661,AHMEDABAD,PORT BLAIR,463,92,555
662,BHUBANESWAR,DehraDun,0,552,552
663,HUBLI,TIRUPATI,296,244,540
664,BHUBANESWAR,JAMSHEDPUR,224,289,513
665,GUWAHATI,UDAIPUR,166,316,482
666,COIMBATORE,KOLHAPUR,261,207,468
667,DABOLIM,VIJAYAWADA,0,468,468
668,PASIGHAT,TEZPUR,238,229,467
669,KOCHI,VISAKHAPATNAM,465,0,465
670,INDORE,SHIRDI,248,195,443
671,KULLU,SIMLA,216,226,442
672,JAIPUR,RAIPUR,218,219,437
673,AGATTI ISLAND,BENGALURU,218,212,430
674,AMRITSAR,DehraDun,91,333,424
675,COOCH BEHAR,KOLKATA,211,208,419
676,AURANGABAD,BENGALURU,201,216,417
677,NASIK,TIRUPATI,204,208,412
678,LILABARI,TEZPUR,387,15,402
679,KOLKATA,PASIGHAT,6,386,392
680,PUNE,VARANASI,274,104,378
681,NAGPUR,RAIPUR,376,0,376
682,KOCHI,COIMBATORE,0,358,358
683,Goa,VARANASI,179,177,356
684,COIMBATORE,DURGAPUR,204,146,350
685,GWALIOR,JABALPUR,209,129,338
686,KANNUR,TIRUCHIRAPALLY,261,66,327
687,Goa,VISAKHAPATNAM,140,187,327
688,TIRUCHIRAPALLY,TIRUPATI,195,129,324
689,DIBRUGARH, Itanagar,175,135,310
690,JAIPUR,PANTNAGAR,183,126,309
691,DHARAMSALA,SIMLA,179,123,302
692,AHMEDABAD,VADODARA,0,292,292
693,CHENNAI,UDAIPUR,153,128,281
694,DURGAPUR,VADODARA,0,274,274
695,AIZAWL,DIMAPUR,4,269,273
696,BHOPAL,INDORE,107,157,264
697,AGATTI ISLAND,MYSORE,177,80,257
698,Goa,LUCKNOW,100,151,251
699,AHMEDABAD,SRINAGAR,117,123,240
700,BAREILLY,JAIPUR,162,77,239
701,BAGDOGRA,RANCHI,93,123,216
702,JAIPUR,NAGPUR,0,188,188
703,COIMBATORE,KOZHIKODE,172,0,172
704,KOZHIKODE,TRIVANDRUM,0,169,169
705,BHOPAL,LUCKNOW,160,0,160
706,RANCHI,VISAKHAPATNAM,56,102,158
707,IMPHAL,LUCKNOW,1,154,155
708,Deoghar ,RANCHI,87,65,152
709, Itanagar,Ziro,69,78,147
710,KANNUR,MANGALORE,63,77,140
711, Itanagar,PASIGHAT,64,72,136
712,BAGDOGRA,SILCHAR,133,0,133
713,DURGAPUR,KOLKATA,0,132,132
714,DIBRUGARH,TEZU,20,100,120
715,Deoghar ,PATNA,44,74,118
716,AHMEDABAD,RAJKOT,0,115,115
717,CHENNAI,TIRUPATI,112,0,112
718,AGARTALA,BHUBANESWAR,18,90,108
719,PATNA,TRIVANDRUM,104,0,104
720,GORAKHPUR,JAIPUR,97,0,97
721,SRINAGAR,VARANASI,93,0,93
722,AMRITSAR,RAJKOT,0,86,86
723,PATNA,SRINAGAR,0,83,83
724,KOLKATA,ROURKELA,27,52,79
725,DehraDun,JAMMU,25,43,68
726,COIMBATORE,MYSORE,58,0,58
727,DIBRUGARH,Ziro,27,30,57
728,MANGALORE,RAIPUR,0,55,55
729,RAJAHMUNDRY,VIJAYAWADA,4,51,55
730,Goa,GUWAHATI,35,15,50
731,KOCHI,INDORE,22,26,48
732,INDORE,TRIVANDRUM,32,15,47
733,RANCHI,SHILLONG,0,43,43
734,KOCHI,NAGPUR,8,32,40
735,TRIVANDRUM,TUTICORIN,37,0,37
736,BHUBANESWAR,GUWAHATI,0,35,35
737,BHOPAL,BILASPUR,13,21,34
738,KOCHI,KOZHIKODE,34,0,34
739,DABOLIM,DARBHANGA,0,32,32
740,KANNUR,VARANASI,31,0,31
741,MUMBAI,VIJAYAWADA,30,0,30
742,CHENNAI,RAJKOT,0,29,29
743,DIMAPUR,LILABARI,0,29,29
744,NAGPUR,VARANASI,0,28,28
745,AHMEDABAD,PANTNAGAR,8,18,26
746,ALLAHABAD,JABALPUR,18,8,26
747,LILABARI,Ziro,3,23,26
748,DIBRUGARH,PASIGHAT,13,12,25
749,KOLKATA,VADODARA,25,0,25
750,BHUBANESWAR,KOCHI,12,10,22
751,PORT BLAIR,PUNE,21,0,21
752,DIBRUGARH,LILABARI,12,8,20
753,JAIPUR,LEH,0,20,20
754,DABOLIM,VARANASI,19,0,19
755,JABALPUR,JAIPUR,19,0,19
756,NAGPUR,TRIVANDRUM,7,12,19
757,DURGAPUR,SRINAGAR,0,18,18
758,CHANDIGARH,RAIPUR,0,17,17
759,GUWAHATI,VISAKHAPATNAM,0,17,17
760,PUNE,VADODARA,17,0,17
761,LILABARI,PASIGHAT,3,13,16
762,ALLAHABAD,CHENNAI,15,0,15
763,DIMAPUR,SILCHAR,5,8,13
764,MANGALORE,PATNA,13,0,13
765,JABALPUR,JODHPUR,11,0,11
766,COIMBATORE,TRIVANDRUM,0,9,9
767,BAGDOGRA,JAIPUR,8,0,8
768,DURGAPUR,SHIRDI,0,8,8
769,CHANDIGARH,GORAKHPUR,0,6,6
770,GAYA,JAIPUR,6,0,6
771,COIMBATORE,VARANASI,5,0,5
772,RAIPUR,VARANASI,4,1,5
773,CHENNAI,KOLHAPUR,0,4,4
774,DIU,PUNE,0,4,4
775,GORAKHPUR,SRINAGAR,4,0,4
776,AHMEDABAD,SURAT,0,3,3
777,BHUBANESWAR,DABOLIM,0,3,3
778,CHANDIGARH,JAMMU,3,0,3
779,DURGAPUR,LUCKNOW,3,0,3
780,JABALPUR,RAIPUR,3,0,3
781,AGARTALA,JORHAT,0,2,2
782,HYDERABAD,KANDLA,0,2,2
783,INDORE,MADURAI,0,2,2
784,AIZAWL,SILCHAR,1,0,1
785,BHOPAL,GWALIOR,1,0,1
786,MANGALORE,TRIVANDRUM,0,1,1
