"Sr. No.",CITY1,CITY2,"PASSENGERS TO CITY2","PASSENGERS FROM CITY2",TOTAL
124,HYDERABAD,VIJAYAWADA,131660,131080,262740
125,CHENNAI,VISAKHAPATNAM,126750,135902,262652
126,DELHI,JODHPUR,127783,126776,254559
127,HYDERABAD,RAJAHMUNDRY,128369,125987,254356
128,KOLKATA,PATNA,123969,127988,251957
129,JAIPUR,PUNE,131036,113116,244152
130,HYDERABAD,VARANASI,119421,122778,242199
131,BAGDOGRA,MUMBAI,122099,117203,239302
132,DELHI,DIBRUGARH,134121,103939,238060
133,HYDERABAD,LUCKNOW,115619,121815,237434
134,DELHI,SHIRDI,119122,115503,234625
135,HYDERABAD,PATNA,121570,111879,233449
136,KOLKATA,SILCHAR,116694,116156,232850
137,CHANDIGARH,HYDERABAD,106427,116843,223270
138,BENGALURU,RAIPUR,112150,111100,223250
139,DELHI,IMPHAL,108850,108640,217490
140,BENGALURU,VIJAYAWADA,105352,110328,215680
141,KOLKATA,RAIPUR,102940,111330,214270
142,AURANGABAD,MUMBAI,111573,101870,213443
143,AHMEDABAD,CHANDIGARH,109004,101384,210388
144,HYDERABAD,RAIPUR,103084,105194,208278
145,AHMEDABAD,LUCKNOW,104881,102283,207164
146,MUMBAI,MADURAI,103249,102919,206168
147,MUMBAI,GORAKHPUR,105392,100367,205759
148,AHMEDABAD,JAIPUR,103357,100704,204061
149,DELHI,VIJAYAWADA,101145,102277,203422
150,DIBRUGARH,KOLKATA,101816,97091,198907
151,DABOLIM,PUNE,100023,94587,194610
152,AURANGABAD,DELHI,96528,96222,192750
153,BHUBANESWAR,CHENNAI,96048,93025,189073
154,MUMBAI,KOZHIKODE,94782,93784,188566
155,HYDERABAD,SHIRDI,88698,93007,181705
156,AGARTALA,GUWAHATI,85366,90296,175662
157,DELHI,KOZHIKODE,86991,88384,175375
158,DARBHANGA,DELHI,86657,88464,175121
159,DELHI,JABALPUR,88505,85314,173819
160,MUMBAI,VISAKHAPATNAM,81906,91609,173515
161,CHENNAI,TIRUCHIRAPALLY,89514,83929,173443
162,DABOLIM,LUCKNOW,82822,84006,166828
163,DABOLIM,KOLKATA,83886,79719,163605
164,CHENNAI,SHIRDI,82164,79759,161923
165,BENGALURU,DARBHANGA,81325,80061,161386
166,PATNA,PUNE,84532,76790,161322
167,BENGALURU,SHIRDI,80822,80231,161053
168,BENGALURU,PORT BLAIR,80930,77819,158749
169,CHENNAI,TUTICORIN,81004,77181,158185
170,CHENNAI,DABOLIM,78106,78959,157065
171,Goa,BENGALURU,78635,76030,154665
172,BENGALURU,SURAT,74650,74247,148897
173,DELHI,DHARAMSALA,80729,67021,147750
174,MUMBAI,DARBHANGA,75505,72180,147685
175,AMRITSAR,SRINAGAR,76343,70511,146854
176,CHANDIGARH,DABOLIM,71174,74389,145563
177,MUMBAI,KANPUR,72875,70248,143123
178,AIZAWL,KOLKATA,72307,70736,143043
179,KOLKATA,RANCHI,71187,71702,142889
180,BENGALURU,DehraDun,70692,70540,141232
181,HYDERABAD,RANCHI,69366,70694,140060
182,AHMEDABAD,VARANASI,68770,69821,138591
183,AHMEDABAD,PATNA,69476,68374,137850
184,BENGALURU,MADURAI,68823,68903,137726
185,BAGDOGRA,CHENNAI,70155,67086,137241
186,BENGALURU,VADODARA,66962,65073,132035
187,HYDERABAD,VADODARA,65092,66418,131510
188,DIMAPUR,KOLKATA,69402,61245,130647
189,DABOLIM,SURAT,65839,64383,130222
190,GUWAHATI,JAIPUR,63463,65759,129222
191,ALLAHABAD,DELHI,64344,63646,127990
192,BHUBANESWAR,PUNE,64509,60800,125309
193,HYDERABAD,TRIVANDRUM,62791,61397,124188
194,GUWAHATI,HYDERABAD,61221,60387,121608
195,AGARTALA,DELHI,61484,57998,119482
196,Goa,MUMBAI,59253,59426,118679
197,BAGDOGRA,HYDERABAD,58923,59566,118489
198,CHENNAI,JODHPUR,58570,59680,118250
199,KOCHI,PUNE,58383,58914,117297
200,AHMEDABAD,DehraDun,59127,57508,116635
201,HYDERABAD,MADURAI,59132,56709,115841
202,KOLKATA,VARANASI,54844,60314,115158
203,MUMBAI,JAMMU,90465,24332,114797
204,INDORE,PUNE,58925,54927,113852
205,DELHI,DURGAPUR,57438,56409,113847
206,KOLKATA,SURAT,57186,56659,113845
207,Goa,DELHI,58030,55510,113540
208,CHENNAI,JAIPUR,56952,56470,113422
209,PUNE,RANCHI,55217,56812,112029
210,KOLKATA,NAGPUR,53395,58309,111704
211,CHANDIGARH,PUNE,57856,53563,111419
212,DELHI,MADURAI,55601,55322,110923
213,KOLKATA,VISAKHAPATNAM,53388,56481,109869
